"Path","Extension","SizeMB","Width","Height","MaxSide","PixelFormat","Recommendation"
"img\doka\doka05.jpg",".jpg","37.59","7884","5207","7884","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\doka\doka01.jpg",".jpg","34.72","7867","4985","7867","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\doka\doka_bauma_(c)shopconsult (5).jpg",".jpg","32.76","7909","4600","7909","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\doka\doka bauma 2016_13.jpg",".jpg","31.09","7814","5066","7814","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\doka\doka02.jpg",".jpg","30.42","7809","5048","7809","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\doka\doka07.jpg",".jpg","26.11","7952","5249","7952","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\doka\doka_front.jpg",".jpg","25.21","7952","3981","7952","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\doka\doka_bauma_(c)shopconsult.jpg",".jpg","21.72","7853","5188","7853","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\doka\doka04.png",".png","20.08","6480","3840","6480","Format24bppRgb","Strong candidate for JPEG/WebP conversion; resize and optimize"
"img\doka\doka03.jpg",".jpg","18.33","7360","4912","7360","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\mons\16831060322_5243b071aa_o.jpg",".jpg","16.86","5616","3744","5616","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\mons\beehive-mons-2015_16831060322_o.jpg",".jpg","16.86","5616","3744","5616","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\lightscape\lightscape02.jpg",".jpg","15.44","5104","3403","5104","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\lightscape\lightscape06.jpg",".jpg","14.73","5184","3456","5184","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\mons\16209829804_c55556a459_o.jpg",".jpg","14.04","5251","3501","5251","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\mons\beehive-mons-2015_16209829804_o.jpg",".jpg","14.04","5251","3501","5251","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\doka\doka06.jpg",".jpg","13.89","7360","4912","7360","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\mons\16645069489_80e4af2fde_o.jpg",".jpg","13.58","5453","3636","5453","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\mons\beehive-mons-2015_16645069489_o.jpg",".jpg","13.58","5453","3636","5453","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\kf\KF03.png",".png","13.22","3584","1948","3584","Format32bppArgb","Strong candidate for JPEG/WebP conversion; resize and optimize"
"img\kf\KF05.png",".png","13.19","3584","1950","3584","Format32bppArgb","Strong candidate for JPEG/WebP conversion; resize and optimize"
"img\kf\KF09.png",".png","12.37","3584","1948","3584","Format32bppArgb","Strong candidate for JPEG/WebP conversion; resize and optimize"
"img\lightscape\lightscape03.jpg",".jpg","12.1","5184","3456","5184","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\mons\16624865247_824dfd9529_o.jpg",".jpg","12.08","5244","3496","5244","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\mons\beehive-mons-2015_16624865247_o.jpg",".jpg","12.08","5244","3496","5244","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\tabakfabrik\IMG_3559.png",".png","11.99","5184","3456","5184","Format24bppRgb","Strong candidate for JPEG/WebP conversion; resize and optimize"
"img\tabakfabrik\IMG_3523.png",".png","11.83","5184","3456","5184","Format24bppRgb","Strong candidate for JPEG/WebP conversion; resize and optimize"
"img\mons\16623868997_72b520df6c_o.jpg",".jpg","11.63","4929","3286","4929","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\mons\beehive-mons-2015_16623868997_o.jpg",".jpg","11.63","4929","3286","4929","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\lightscape\lightscape03-2.jpg",".jpg","11.45","5184","3456","5184","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\tabakfabrik\IMG_3411.png",".png","11.45","5184","3456","5184","Format24bppRgb","Strong candidate for JPEG/WebP conversion; resize and optimize"
"img\mons\16644810100_5e203f5720_o.jpg",".jpg","11.13","5297","3532","5297","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\mons\beehive-mons-2015_16644810100_o.jpg",".jpg","11.13","5297","3532","5297","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\kf\KF04.png",".png","10.72","3584","1944","3584","Format32bppArgb","Strong candidate for JPEG/WebP conversion; resize and optimize"
"img\tabakfabrik\IMG_3503.png",".png","10.46","5184","3456","5184","Format24bppRgb","Strong candidate for JPEG/WebP conversion; resize and optimize"
"img\tabakfabrik\IMG_3373.png",".png","10.45","5184","3456","5184","Format24bppRgb","Strong candidate for JPEG/WebP conversion; resize and optimize"
"img\lightscape\lightscape01.jpg",".jpg","9.44","5184","3456","5184","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\lightscape\lightscape05.jpg",".jpg","8.56","5184","3456","5184","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\lightscape\lightscape04.jpg",".jpg","8.45","5184","3456","5184","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\tabakfabrik\IMG_3368.png",".png","8.45","5184","3456","5184","Format24bppRgb","Strong candidate for JPEG/WebP conversion; resize and optimize"
"img\tabakfabrik\IMG_3433.png",".png","7.88","5184","3456","5184","Format24bppRgb","Strong candidate for JPEG/WebP conversion; resize and optimize"
"img\lightscape\lightscape04-2.jpg",".jpg","7.78","5184","3456","5184","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\kf\KF07.png",".png","7.76","3584","1946","3584","Format32bppArgb","Strong candidate for JPEG/WebP conversion; resize and optimize"
"img\kf\KF06.png",".png","6.89","3584","1934","3584","Format32bppArgb","Strong candidate for JPEG/WebP conversion; resize and optimize"
"img\spymuseum\at-the-spy-museum_21613565792_o.jpg",".jpg","6.64","4912","3264","4912","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\spymuseum\impression_21437149488_o.jpg",".jpg","6.05","4007","2671","4007","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\metec\metec06.jpg",".jpg","5.69","4912","3264","4912","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\deathlap\pic01.png",".png","5.62","2560","1440","2560","Format24bppRgb","Strong candidate for JPEG/WebP conversion; resize and optimize"
"img\deathlap\pic05.png",".png","5.48","2560","1440","2560","Format32bppArgb","Strong candidate for JPEG/WebP conversion; resize and optimize"
"img\deathlap\pic04.png",".png","5.27","2560","1440","2560","Format32bppArgb","Strong candidate for JPEG/WebP conversion; resize and optimize"
"img\mons\16643689508_04aba913d2_o.jpg",".jpg","5.04","4032","3024","4032","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\mons\beehive-mons-2015_16643689508_o.jpg",".jpg","5.04","4032","3024","4032","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\deathlap\pic02.png",".png","4.91","2560","1440","2560","Format24bppRgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\deathlap\pic06.png",".png","4.89","2560","1440","2560","Format24bppRgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\metec\metec08.jpg",".jpg","4.59","4912","3264","4912","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\deathlap\pic03.png",".png","4.5","2560","1440","2560","Format24bppRgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\metec\metec09.jpg",".jpg","4.5","4912","3264","4912","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\bmeia\bmeia04.jpg",".jpg","4.21","3855","2166","3855","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\bmeia\bmeia01.jpg",".jpg","4.14","3794","2232","3794","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\metec\metec07.jpg",".jpg","3.81","4912","3264","4912","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\spymuseum\007--co_21410941730_o.jpg",".jpg","3.69","4928","3264","4928","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\spymuseum\impression-from-the-spy-museum-berlin_21599017405_o.jpg",".jpg","3.16","4912","3264","4912","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\spymuseum\impression-from-spy-museum-berlin_21412020069_o.jpg",".jpg","3.12","4912","3264","4912","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\onceuponatale\BenKemoun_OnceUponATale.png",".png","2.81","2493","1772","2493","Format32bppArgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\kf\KF01.png",".png","2.65","3584","1942","3584","Format32bppArgb","Strong candidate for JPEG/WebP conversion; resize and optimize"
"img\bmeia\bmeia03.jpg",".jpg","2.47","3264","1836","3264","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\kf\KF02.png",".png","2.41","3584","1940","3584","Format32bppArgb","Strong candidate for JPEG/WebP conversion; resize and optimize"
"img\tabakfabrik\pic02.png",".png","1.72","1920","1280","1920","Format24bppRgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\tabakfabrik\pic03.png",".png","1.7","1920","1280","1920","Format24bppRgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\tabakfabrik\pic07.png",".png","1.67","1920","1280","1920","Format24bppRgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\spymuseum\spy-museum-berlin_21412057309_o.jpg",".jpg","1.63","1890","1265","1890","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\aef\pic02.jpg",".jpg","1.58","1920","1271","1920","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\mons\16643881250_eece93aca2_o.jpg",".jpg","1.57","5783","3934","5783","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\mons\beehive-mons-2015_16643881250_o.jpg",".jpg","1.57","5783","3934","5783","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\spinny\pic02.png",".png","1.57","1280","720","1280","Format32bppArgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\spymuseum\coding-machine-enigma_21412090749_o.jpg",".jpg","1.57","2000","2000","2000","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\tabakfabrik\pic01.png",".png","1.54","1920","1280","1920","Format24bppRgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\machine\machine13.jpg",".jpg","1.53","2560","1285","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\aef\pic03.jpg",".jpg","1.46","1920","1271","1920","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\aef\pic08.jpg",".jpg","1.45","1920","1271","1920","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\spinny\pic03.png",".png","1.44","1280","720","1280","Format32bppArgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\aef\pic04.jpg",".jpg","1.43","1920","1271","1920","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\spinny\pic08.png",".png","1.42","1280","720","1280","Format32bppArgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\aef\pic01.jpg",".jpg","1.41","2362","1564","2362","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\spinny\pic09.png",".png","1.41","1280","720","1280","Format32bppArgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\spinny\pic10.png",".png","1.4","1280","720","1280","Format32bppArgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\machine\machine19.jpg",".jpg","1.39","2560","1290","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\spinny\pic01.png",".png","1.37","1280","720","1280","Format32bppArgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\kf\pic05.png",".png","1.36","1920","1080","1920","Format32bppArgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\machine\machine16.jpg",".jpg","1.35","2560","1290","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\machine\machine17.jpg",".jpg","1.34","2560","1310","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\tabakfabrik\pic04.png",".png","1.33","1920","1280","1920","Format24bppRgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\spymuseum\spy-museum_21442709989_o.jpg",".jpg","1.28","3000","2000","3000","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\aef\pic05.jpg",".jpg","1.27","1920","1271","1920","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\aef\pic06.jpg",".jpg","1.25","1564","2362","2362","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\machine\machine14.jpg",".jpg","1.24","2560","1286","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\tabakfabrik\pic06.png",".png","1.24","1920","1280","1920","Format24bppRgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\aef\JOH_20160912_10_52_01.jpg",".jpg","1.2","2362","1564","2362","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\kf\pic09.png",".png","1.2","1920","1080","1920","Format32bppArgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\spinny\pic07.png",".png","1.2","1280","720","1280","Format32bppArgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
