"Folder","Count","TotalMB","LargestMB"
"img\doka","19","294.74","37.59"
"img\mons","44","178.14","16.86"
"img\lightscape","15","90.75","15.44"
"img\tabakfabrik","15","83.14","11.99"
"img\kf","17","75.75","13.22"
"img\spymuseum","34","42.62","6.64"
"img\deathlap","8","30.94","5.62"
"img\metec","17","27.22","5.69"
"img\aef","19","20.26","1.58"
"img\machine","28","19.98","1.53"
"img\bmeia","10","16.03","4.21"
"img\spinny","11","12.6","1.57"
"img\onceuponatale","23","11.58","2.81"
"img\skater","22","7.65","0.85"
"img\eames","21","6.74","0.82"
"img\ao","20","6.62","0.56"
"img\saltmine","22","6.38","0.92"
"img\42","6","5.45","1.19"
"img\vaudoise","9","3.54","0.6"
"img\baudata","12","2.22","0.26"
"img\fireplace","3","1.33","0.52"
"img","3","0.02","0.01"
"img\controls","3","0","0"
